id,timestamp,mac,temp_interna,free_heap,cpu_total,cpu_idle
9472,2025-12-13 13:30:16,40:4c:ca:5e:02:44,45.1,206100,1.83,98.17
9473,2025-12-13 13:30:19,40:4c:ca:5d:f3:b8,43.7,235468,97.25,0.0
9474,2025-12-13 13:30:23,40:4c:ca:5e:09:2c,43.6,234808,1.72,0.0
9475,2025-12-13 13:31:16,40:4c:ca:5e:02:44,45.1,206100,1.83,98.17
9476,2025-12-13 13:31:19,40:4c:ca:5d:f3:b8,43.7,235316,1.29,0.0
9477,2025-12-13 13:31:23,40:4c:ca:5e:09:2c,44.6,234832,1.72,0.0
9478,2025-12-13 13:32:16,40:4c:ca:5e:02:44,46.1,208596,1.83,98.17
9479,2025-12-13 13:32:19,40:4c:ca:5d:f3:b8,43.7,235516,1.29,0.0
9480,2025-12-13 13:33:16,40:4c:ca:5e:02:44,46.1,208596,1.83,98.17
9481,2025-12-13 13:33:19,40:4c:ca:5d:f3:b8,43.7,235512,1.29,0.0
9482,2025-12-13 13:34:16,40:4c:ca:5e:02:44,46.1,206084,1.37,98.63
9483,2025-12-13 13:34:19,40:4c:ca:5d:f3:b8,43.7,235512,1.29,0.0
9484,2025-12-13 13:34:20,40:4c:ca:5e:09:2c,38.6,235320,96.99,0.0
9485,2025-12-13 13:35:37,40:4c:ca:5d:f3:b8,44.7,212748,1.21,98.79
9486,2025-12-13 13:36:37,40:4c:ca:5d:f3:b8,44.7,212264,1.21,98.79
9487,2025-12-13 13:37:15,40:4c:ca:5e:02:44,41.1,235484,96.79,0.0
9488,2025-12-13 13:37:37,40:4c:ca:5d:f3:b8,44.7,208940,1.21,98.79
9489,2025-12-13 13:38:15,40:4c:ca:5e:02:44,44.1,235260,96.79,0.0
9490,2025-12-13 13:38:54,40:4c:ca:5e:02:44,44.1,218140,96.79,3.21
9491,2025-12-13 13:39:44,40:4c:ca:5e:02:44,46.1,209420,96.79,3.21
9492,2025-12-13 13:39:47,40:4c:ca:5d:f3:b8,38.7,236076,97.28,0.0
