id,timestamp,mac,temperatura,umidade,latencia,hops
13561,2025-12-04 07:32:17,40:4c:ca:5e:09:2c,30.33,86.43,62,1
13562,2025-12-04 07:33:16,40:4c:ca:5d:e6:e8,30.33,86.43,109,1
13563,2025-12-04 07:34:17,40:4c:ca:5e:02:44,30.33,86.43,85,1
13564,2025-12-04 07:34:17,40:4c:ca:5e:09:2c,30.33,86.43,87,2
13565,2025-12-04 07:36:16,40:4c:ca:5e:02:44,30.33,86.43,101,2
13566,2025-12-04 07:37:16,40:4c:ca:5e:0f:34,30.33,86.43,155,3
13567,2025-12-04 07:38:16,40:4c:ca:5d:e6:e8,23.62,86.29,83,1
13568,2025-12-04 07:39:17,40:4c:ca:5e:09:2c,23.62,86.29,104,2
13569,2025-12-04 07:41:16,40:4c:ca:5e:02:44,23.62,86.29,89,2
13570,2025-12-04 07:42:16,40:4c:ca:5e:0f:34,23.62,86.29,93,3
13571,2025-12-04 07:43:16,40:4c:ca:5d:e6:e8,25.0,75.08,72,1
13572,2025-12-04 07:44:17,40:4c:ca:5e:09:2c,25.0,75.08,81,2
13573,2025-12-04 07:46:16,40:4c:ca:5e:02:44,25.0,75.08,114,2
13574,2025-12-04 07:47:16,40:4c:ca:5e:0f:34,25.0,75.08,97,3
13575,2025-12-04 07:47:18,40:4c:ca:5e:00:a0,30.33,86.43,104,1
13576,2025-12-04 07:48:16,40:4c:ca:5d:e6:e8,27.52,78.56,79,1
13577,2025-12-04 07:49:18,40:4c:ca:5e:09:2c,27.52,78.56,1289,2
13578,2025-12-04 07:51:16,40:4c:ca:5e:02:44,27.52,78.56,110,2
13579,2025-12-04 07:52:16,40:4c:ca:5e:0f:34,27.52,78.56,495,3
13580,2025-12-04 07:52:18,40:4c:ca:5e:00:a0,23.62,86.29,92,1
13581,2025-12-04 07:53:16,40:4c:ca:5d:e6:e8,23.56,64.19,78,1
13582,2025-12-04 07:54:18,40:4c:ca:5e:09:2c,23.56,64.19,88,2
13583,2025-12-04 07:56:16,40:4c:ca:5e:02:44,23.56,64.19,92,2
13584,2025-12-04 07:56:19,40:4c:ca:5d:f7:d4,30.33,86.43,143,3
13585,2025-12-04 07:57:16,40:4c:ca:5e:0f:34,23.56,64.19,119,3
13586,2025-12-04 07:57:18,40:4c:ca:5e:00:a0,25.0,75.08,130,1
13587,2025-12-04 07:58:16,40:4c:ca:5d:e6:e8,20.11,76.51,91,1
13588,2025-12-04 07:59:18,40:4c:ca:5e:09:2c,20.11,76.51,101,2
13589,2025-12-04 08:01:16,40:4c:ca:5e:02:44,20.11,76.51,121,2
13590,2025-12-04 08:01:19,40:4c:ca:5d:f7:d4,23.62,86.29,157,3
13591,2025-12-04 08:02:16,40:4c:ca:5e:0f:34,20.11,76.51,131,3
13592,2025-12-04 08:02:18,40:4c:ca:5e:00:a0,27.52,78.56,108,1
13593,2025-12-04 08:03:16,40:4c:ca:5d:e6:e8,23.43,82.05,91,1
13594,2025-12-04 08:04:19,40:4c:ca:5e:09:2c,23.43,82.05,1300,2
13595,2025-12-04 08:06:16,40:4c:ca:5e:02:44,23.43,82.05,104,2
13596,2025-12-04 08:06:19,40:4c:ca:5d:f7:d4,25.0,75.08,110,1
13597,2025-12-04 08:07:16,40:4c:ca:5e:0f:34,23.43,82.05,119,3
13598,2025-12-04 08:07:18,40:4c:ca:5e:00:a0,23.56,64.19,108,1
13599,2025-12-04 08:08:16,40:4c:ca:5d:e6:e8,29.08,88.93,90,1
13600,2025-12-04 08:09:19,40:4c:ca:5e:09:2c,29.08,88.93,94,2
13601,2025-12-04 08:11:16,40:4c:ca:5e:02:44,29.08,88.93,116,2
13602,2025-12-04 08:11:19,40:4c:ca:5d:f7:d4,27.52,78.56,105,1
13603,2025-12-04 08:12:16,40:4c:ca:5e:0f:34,29.08,88.93,418,3
13604,2025-12-04 08:12:18,40:4c:ca:5e:00:a0,20.11,76.51,99,1
13605,2025-12-04 08:13:16,40:4c:ca:5d:e6:e8,28.3,61.66,109,1
13606,2025-12-04 08:14:19,40:4c:ca:5e:09:2c,28.3,61.66,150,2
13607,2025-12-04 08:16:16,40:4c:ca:5e:02:44,28.3,61.66,110,2
13608,2025-12-04 08:16:19,40:4c:ca:5d:f7:d4,23.56,64.19,112,1
13609,2025-12-04 08:17:16,40:4c:ca:5e:0f:34,28.3,61.66,104,3
13610,2025-12-04 08:17:18,40:4c:ca:5e:00:a0,23.43,82.05,103,1
13611,2025-12-04 08:18:16,40:4c:ca:5d:e6:e8,27.69,70.32,92,1
13612,2025-12-04 08:19:19,40:4c:ca:5e:09:2c,27.69,70.32,99,2
13613,2025-12-04 08:21:16,40:4c:ca:5e:02:44,27.69,70.32,110,2
13614,2025-12-04 08:21:20,40:4c:ca:5d:f7:d4,20.11,76.51,110,1
13615,2025-12-04 08:22:16,40:4c:ca:5e:0f:34,27.69,70.32,113,3
13616,2025-12-04 08:22:18,40:4c:ca:5e:00:a0,29.08,88.93,106,1
13617,2025-12-04 08:23:16,40:4c:ca:5d:e6:e8,28.17,67.47,90,1
13618,2025-12-04 08:24:19,40:4c:ca:5e:09:2c,28.17,67.47,106,2
13619,2025-12-04 08:26:16,40:4c:ca:5e:02:44,28.17,67.47,103,2
13620,2025-12-04 08:26:19,40:4c:ca:5d:f7:d4,23.43,82.05,112,1
13621,2025-12-04 08:27:16,40:4c:ca:5e:0f:34,28.17,67.47,127,3
13622,2025-12-04 08:27:18,40:4c:ca:5e:00:a0,28.3,61.66,103,1
13623,2025-12-04 08:28:16,40:4c:ca:5d:e6:e8,23.72,61.68,93,1
13624,2025-12-04 08:29:19,40:4c:ca:5e:09:2c,23.72,61.68,100,2
13625,2025-12-04 08:31:16,40:4c:ca:5e:02:44,23.72,61.68,95,2
