id,timestamp,mac,rssi,mac_pai,snr
21616,2025-12-04 07:30:17,40:4c:ca:5d:f3:b8,-58,null,
21617,2025-12-04 07:31:51,40:4c:ca:5e:09:2c,-93,40:4c:ca:5d:f3:b9,
21618,2025-12-04 07:33:14,40:4c:ca:5d:e6:e8,-90,40:4c:ca:5d:f3:b9,
21619,2025-12-04 07:33:31,40:4c:ca:5e:09:2c,-78,40:4c:ca:5d:e6:e9,
21620,2025-12-04 07:34:06,40:4c:ca:5e:02:44,-86,40:4c:ca:5d:f3:b9,
21621,2025-12-04 07:35:17,40:4c:ca:5d:f3:b8,-56,null,
21622,2025-12-04 07:36:12,40:4c:ca:5e:02:44,-75,40:4c:ca:5d:e6:e9,
21623,2025-12-04 07:36:42,40:4c:ca:5e:0f:34,-74,40:4c:ca:5e:02:45,
21624,2025-12-04 07:38:14,40:4c:ca:5d:e6:e8,-68,40:4c:ca:5d:f3:b9,
21625,2025-12-04 07:38:31,40:4c:ca:5e:09:2c,-78,40:4c:ca:5d:e6:e9,
21626,2025-12-04 07:40:17,40:4c:ca:5d:f3:b8,-52,null,
21627,2025-12-04 07:41:12,40:4c:ca:5e:02:44,-75,40:4c:ca:5d:e6:e9,
21628,2025-12-04 07:41:42,40:4c:ca:5e:0f:34,-75,40:4c:ca:5e:02:45,
21629,2025-12-04 07:43:14,40:4c:ca:5d:e6:e8,-62,40:4c:ca:5d:f3:b9,
21630,2025-12-04 07:43:31,40:4c:ca:5e:09:2c,-79,40:4c:ca:5d:e6:e9,
21631,2025-12-04 07:45:17,40:4c:ca:5d:f3:b8,-51,null,
21632,2025-12-04 07:46:12,40:4c:ca:5e:02:44,-75,40:4c:ca:5d:e6:e9,
21633,2025-12-04 07:46:38,40:4c:ca:5e:00:a0,-76,40:4c:ca:5d:f3:b9,
21634,2025-12-04 07:46:42,40:4c:ca:5e:0f:34,-75,40:4c:ca:5e:02:45,
21635,2025-12-04 07:48:14,40:4c:ca:5d:e6:e8,-68,40:4c:ca:5d:f3:b9,
21636,2025-12-04 07:48:31,40:4c:ca:5e:09:2c,-78,40:4c:ca:5d:e6:e9,
21637,2025-12-04 07:50:17,40:4c:ca:5d:f3:b8,-51,null,
21638,2025-12-04 07:51:12,40:4c:ca:5e:02:44,-75,40:4c:ca:5d:e6:e9,
21639,2025-12-04 07:51:38,40:4c:ca:5e:00:a0,-77,40:4c:ca:5d:f3:b9,
21640,2025-12-04 07:51:42,40:4c:ca:5e:0f:34,-75,40:4c:ca:5e:02:45,
21641,2025-12-04 07:53:14,40:4c:ca:5d:e6:e8,-67,40:4c:ca:5d:f3:b9,
21642,2025-12-04 07:53:31,40:4c:ca:5e:09:2c,-77,40:4c:ca:5d:e6:e9,
21643,2025-12-04 07:55:18,40:4c:ca:5d:f3:b8,-57,null,
