id,timestamp,mac,temp_interna,free_heap,cpu_total,cpu_idle
4270,2025-12-04 07:30:17,40:4c:ca:5d:f3:b8,31.7,212124,96.85,3.15
4271,2025-12-04 07:32:17,40:4c:ca:5e:09:2c,31.6,235792,97.59,0.0
4272,2025-12-04 07:33:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4273,2025-12-04 07:34:17,40:4c:ca:5e:02:44,33.1,235004,96.3,0.0
4274,2025-12-04 07:34:17,40:4c:ca:5e:09:2c,31.6,235556,96.55,0.0
4275,2025-12-04 07:35:17,40:4c:ca:5d:f3:b8,34.7,209132,1.56,98.44
4276,2025-12-04 07:36:16,40:4c:ca:5e:02:44,33.1,236432,96.22,0.0
4277,2025-12-04 07:37:16,40:4c:ca:5e:0f:34,30.1,235084,97.05,0.0
4278,2025-12-04 07:38:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4279,2025-12-04 07:39:17,40:4c:ca:5e:09:2c,32.6,235260,1.76,0.0
4280,2025-12-04 07:40:17,40:4c:ca:5d:f3:b8,34.7,209096,1.24,98.76
4281,2025-12-04 07:41:16,40:4c:ca:5e:02:44,40.1,232424,1.59,0.0
4282,2025-12-04 07:42:16,40:4c:ca:5e:0f:34,37.1,234784,1.54,0.0
4283,2025-12-04 07:43:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4284,2025-12-04 07:44:17,40:4c:ca:5e:09:2c,32.6,234808,1.29,0.0
4285,2025-12-04 07:45:17,40:4c:ca:5d:f3:b8,34.7,209096,1.12,98.88
4286,2025-12-04 07:46:16,40:4c:ca:5e:02:44,41.1,232412,1.27,0.0
4287,2025-12-04 07:47:16,40:4c:ca:5e:0f:34,38.1,234792,1.23,0.0
4288,2025-12-04 07:47:18,40:4c:ca:5e:00:a0,33.8,235268,98.46,0.0
4289,2025-12-04 07:48:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4290,2025-12-04 07:49:18,40:4c:ca:5e:09:2c,32.6,235216,1.14,0.0
4291,2025-12-04 07:50:17,40:4c:ca:5d:f3:b8,34.7,206420,1.08,98.92
4292,2025-12-04 07:51:16,40:4c:ca:5e:02:44,41.1,232412,1.16,0.0
4293,2025-12-04 07:52:16,40:4c:ca:5e:0f:34,38.1,235000,1.13,0.0
4294,2025-12-04 07:52:18,40:4c:ca:5e:00:a0,39.8,234964,1.05,0.0
4295,2025-12-04 07:53:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4296,2025-12-04 07:54:18,40:4c:ca:5e:09:2c,32.6,234380,1.07,0.0
4297,2025-12-04 07:55:17,40:4c:ca:5d:f3:b8,34.7,206420,1.06,98.94
4298,2025-12-04 07:56:16,40:4c:ca:5e:02:44,42.1,231972,1.11,0.0
4299,2025-12-04 07:56:19,40:4c:ca:5d:f7:d4,33.2,234552,96.97,0.0
4300,2025-12-04 07:57:16,40:4c:ca:5e:0f:34,38.1,234992,1.07,0.0
4301,2025-12-04 07:57:18,40:4c:ca:5e:00:a0,40.8,235116,0.9,0.0
4302,2025-12-04 07:58:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4303,2025-12-04 07:59:18,40:4c:ca:5e:09:2c,33.6,231868,1.05,0.0
4304,2025-12-04 08:00:17,40:4c:ca:5d:f3:b8,34.7,206372,1.06,98.94
4305,2025-12-04 08:01:16,40:4c:ca:5e:02:44,41.1,232396,1.09,0.0
4306,2025-12-04 08:01:19,40:4c:ca:5d:f7:d4,38.2,234276,1.49,0.0
4307,2025-12-04 08:02:16,40:4c:ca:5e:0f:34,39.1,234776,1.04,0.0
4308,2025-12-04 08:02:18,40:4c:ca:5e:00:a0,41.8,234704,0.86,0.0
4309,2025-12-04 08:03:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4310,2025-12-04 08:04:19,40:4c:ca:5e:09:2c,32.6,234412,1.03,0.0
4311,2025-12-04 08:05:17,40:4c:ca:5d:f3:b8,34.7,203792,1.06,98.94
4312,2025-12-04 08:06:16,40:4c:ca:5e:02:44,40.1,231556,1.08,0.0
4313,2025-12-04 08:06:19,40:4c:ca:5d:f7:d4,39.2,234116,1.18,0.0
4314,2025-12-04 08:07:16,40:4c:ca:5e:0f:34,38.1,235196,1.03,0.0
4315,2025-12-04 08:07:18,40:4c:ca:5e:00:a0,41.8,235332,0.83,0.0
4316,2025-12-04 08:08:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4317,2025-12-04 08:09:19,40:4c:ca:5e:09:2c,32.6,234008,1.0,0.0
4318,2025-12-04 08:10:17,40:4c:ca:5d:f3:b8,34.7,203748,1.06,98.94
4319,2025-12-04 08:11:16,40:4c:ca:5e:02:44,40.1,231540,1.07,0.0
4320,2025-12-04 08:11:19,40:4c:ca:5d:f7:d4,40.2,234904,1.04,0.0
4321,2025-12-04 08:12:16,40:4c:ca:5e:0f:34,38.1,234324,1.02,0.0
4322,2025-12-04 08:12:18,40:4c:ca:5e:00:a0,41.8,234484,0.81,0.0
4323,2025-12-04 08:13:16,40:4c:ca:5d:e6:e8,0.0,2863311530,0.0,0.0
4324,2025-12-04 08:14:19,40:4c:ca:5e:09:2c,33.6,233800,0.98,0.0
4325,2025-12-04 08:15:17,40:4c:ca:5d:f3:b8,34.7,203748,1.06,98.94
4326,2025-12-04 08:16:16,40:4c:ca:5e:02:44,40.1,231756,1.05,0.0
