id,timestamp,mac,rssi,mac_pai
17183,2025-11-15 21:29:39,40:4c:ca:5e:0f:34,-57,null
17184,2025-11-15 21:31:33,40:4c:ca:5e:02:44,-81,40:4c:ca:5e:0f:35
17185,2025-11-15 21:31:44,40:4c:ca:5d:f3:b8,-80,40:4c:ca:5e:02:45
17186,2025-11-15 21:32:31,40:4c:ca:5d:f7:d4,-77,40:4c:ca:5e:02:45
17187,2025-11-15 21:34:39,40:4c:ca:5e:0f:34,-56,null
17188,2025-11-15 21:35:43,40:4c:ca:5e:09:2c,-85,40:4c:ca:5d:f7:d5
17189,2025-11-15 21:36:33,40:4c:ca:5e:02:44,-84,40:4c:ca:5e:0f:35
17190,2025-11-15 21:36:44,40:4c:ca:5d:f3:b8,-85,40:4c:ca:5e:02:45
17191,2025-11-15 21:37:31,40:4c:ca:5d:f7:d4,-83,40:4c:ca:5e:02:45
17192,2025-11-15 21:39:38,40:4c:ca:5e:0f:34,-58,null
17193,2025-11-15 21:40:43,40:4c:ca:5e:09:2c,-84,40:4c:ca:5e:0f:35
17194,2025-11-15 21:41:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17195,2025-11-15 21:41:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17196,2025-11-15 21:42:31,40:4c:ca:5d:f7:d4,-94,40:4c:ca:5e:09:2d
17197,2025-11-15 21:44:39,40:4c:ca:5e:0f:34,-57,null
17198,2025-11-15 21:45:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17199,2025-11-15 21:46:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17200,2025-11-15 21:46:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17201,2025-11-15 21:47:31,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17202,2025-11-15 21:49:39,40:4c:ca:5e:0f:34,-59,null
17203,2025-11-15 21:50:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17204,2025-11-15 21:51:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17205,2025-11-15 21:51:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17206,2025-11-15 21:52:31,40:4c:ca:5d:f7:d4,-93,40:4c:ca:5e:09:2d
17207,2025-11-15 21:54:39,40:4c:ca:5e:0f:34,-58,null
17208,2025-11-15 21:55:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17209,2025-11-15 21:56:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17210,2025-11-15 21:56:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17211,2025-11-15 21:57:31,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17212,2025-11-15 21:59:39,40:4c:ca:5e:0f:34,-59,null
17213,2025-11-15 22:00:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17214,2025-11-15 22:01:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17215,2025-11-15 22:01:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17216,2025-11-15 22:02:31,40:4c:ca:5d:f7:d4,-93,40:4c:ca:5e:09:2d
17217,2025-11-15 22:04:39,40:4c:ca:5e:0f:34,-60,null
17218,2025-11-15 22:05:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17219,2025-11-15 22:06:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17220,2025-11-15 22:06:44,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:02:45
17221,2025-11-15 22:07:31,40:4c:ca:5d:f7:d4,-93,40:4c:ca:5e:09:2d
17222,2025-11-15 22:09:39,40:4c:ca:5e:0f:34,-59,null
17223,2025-11-15 22:10:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17224,2025-11-15 22:11:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17225,2025-11-15 22:11:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17226,2025-11-15 22:12:31,40:4c:ca:5d:f7:d4,-93,40:4c:ca:5e:09:2d
17227,2025-11-15 22:14:39,40:4c:ca:5e:0f:34,-53,null
17228,2025-11-15 22:15:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17229,2025-11-15 22:16:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17230,2025-11-15 22:16:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17231,2025-11-15 22:17:31,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17232,2025-11-15 22:19:39,40:4c:ca:5e:0f:34,-53,null
17233,2025-11-15 22:20:43,40:4c:ca:5e:09:2c,-76,40:4c:ca:5e:0f:35
17234,2025-11-15 22:21:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17235,2025-11-15 22:21:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17236,2025-11-15 22:22:31,40:4c:ca:5d:f7:d4,-89,40:4c:ca:5e:09:2d
17237,2025-11-15 22:24:39,40:4c:ca:5e:0f:34,-53,null
17238,2025-11-15 22:25:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17239,2025-11-15 22:26:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17240,2025-11-15 22:26:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17241,2025-11-15 22:27:31,40:4c:ca:5d:f7:d4,-89,40:4c:ca:5e:09:2d
17242,2025-11-15 22:29:39,40:4c:ca:5e:0f:34,-53,null
17243,2025-11-15 22:30:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17244,2025-11-15 22:31:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17245,2025-11-15 22:31:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17246,2025-11-15 22:32:31,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17247,2025-11-15 22:34:39,40:4c:ca:5e:0f:34,-59,null
17248,2025-11-15 22:35:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17249,2025-11-15 22:36:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17250,2025-11-15 22:36:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17251,2025-11-15 22:37:31,40:4c:ca:5d:f7:d4,-90,40:4c:ca:5e:09:2d
17252,2025-11-15 22:39:39,40:4c:ca:5e:0f:34,-59,null
17253,2025-11-15 22:40:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17254,2025-11-15 22:41:33,40:4c:ca:5e:02:44,-80,40:4c:ca:5e:0f:35
17255,2025-11-15 22:41:44,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:02:45
17256,2025-11-15 22:42:31,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17257,2025-11-15 22:44:39,40:4c:ca:5e:0f:34,-59,null
17258,2025-11-15 22:45:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17259,2025-11-15 22:46:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17260,2025-11-15 22:46:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17261,2025-11-15 22:47:33,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17262,2025-11-15 22:49:39,40:4c:ca:5e:0f:34,-58,null
17263,2025-11-15 22:50:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17264,2025-11-15 22:51:33,40:4c:ca:5e:02:44,-79,40:4c:ca:5e:0f:35
17265,2025-11-15 22:51:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17266,2025-11-15 22:52:33,40:4c:ca:5d:f7:d4,-93,40:4c:ca:5e:09:2d
17267,2025-11-15 22:54:39,40:4c:ca:5e:0f:34,-58,null
17268,2025-11-15 22:55:43,40:4c:ca:5e:09:2c,-75,40:4c:ca:5e:0f:35
17269,2025-11-15 22:56:33,40:4c:ca:5e:02:44,-80,40:4c:ca:5e:0f:35
17270,2025-11-15 22:56:44,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:02:45
17271,2025-11-15 22:57:33,40:4c:ca:5d:f7:d4,-92,40:4c:ca:5e:09:2d
17272,2025-11-15 22:59:39,40:4c:ca:5e:0f:34,-59,null
17273,2025-11-15 23:00:43,40:4c:ca:5e:09:2c,-74,40:4c:ca:5e:0f:35
