id,timestamp,mac,temp_interna,free_heap,cpu_total,cpu_idle
1,2025-11-15 21:29:39,40:4c:ca:5e:0f:34,32.1,212116,96.07,3.93
2,2025-11-15 21:32:32,40:4c:ca:5d:f3:b8,32.7,235464,95.89,0.0
3,2025-11-15 21:32:33,40:4c:ca:5d:f7:d4,30.2,236236,96.7,0.0
4,2025-11-15 21:32:33,40:4c:ca:5e:02:44,36.1,230580,96.45,0.0
5,2025-11-15 21:34:38,40:4c:ca:5e:0f:34,32.1,209292,1.25,98.75
6,2025-11-15 21:36:33,40:4c:ca:5e:09:2c,34.6,235060,98.14,0.0
7,2025-11-15 21:37:32,40:4c:ca:5d:f3:b8,37.7,234956,1.66,0.0
8,2025-11-15 21:37:33,40:4c:ca:5d:f7:d4,39.2,234888,1.38,0.0
9,2025-11-15 21:37:33,40:4c:ca:5e:02:44,39.1,229808,2.12,0.0
10,2025-11-15 21:39:38,40:4c:ca:5e:0f:34,33.1,206588,1.08,98.92
11,2025-11-15 21:41:33,40:4c:ca:5e:09:2c,37.6,231856,1.65,0.0
12,2025-11-15 21:42:32,40:4c:ca:5d:f3:b8,37.7,234504,1.27,0.0
13,2025-11-15 21:42:33,40:4c:ca:5d:f7:d4,42.2,234324,1.15,0.0
14,2025-11-15 21:42:33,40:4c:ca:5e:02:44,40.1,232388,1.53,0.0
15,2025-11-15 21:44:39,40:4c:ca:5e:0f:34,33.1,206548,1.01,98.99
16,2025-11-15 21:46:33,40:4c:ca:5e:09:2c,40.6,232240,1.26,0.0
17,2025-11-15 21:47:32,40:4c:ca:5d:f3:b8,37.7,234724,1.13,0.0
18,2025-11-15 21:47:33,40:4c:ca:5d:f7:d4,42.2,234308,1.02,0.0
19,2025-11-15 21:47:33,40:4c:ca:5e:02:44,40.1,231960,1.31,0.0
20,2025-11-15 21:49:39,40:4c:ca:5e:0f:34,33.1,206548,0.97,99.03
21,2025-11-15 21:51:33,40:4c:ca:5e:09:2c,43.6,229796,1.1,0.0
22,2025-11-15 21:52:32,40:4c:ca:5d:f3:b8,37.7,234724,1.05,0.0
23,2025-11-15 21:52:33,40:4c:ca:5e:02:44,39.1,231956,1.21,0.0
24,2025-11-15 21:52:33,40:4c:ca:5d:f7:d4,42.2,234304,0.96,0.0
25,2025-11-15 21:54:39,40:4c:ca:5e:0f:34,34.1,206516,0.95,99.05
26,2025-11-15 21:56:33,40:4c:ca:5e:09:2c,40.6,232192,1.03,0.0
27,2025-11-15 21:57:32,40:4c:ca:5d:f3:b8,37.7,234724,1.0,0.0
28,2025-11-15 21:57:33,40:4c:ca:5e:02:44,39.1,231960,1.14,0.0
29,2025-11-15 21:57:34,40:4c:ca:5d:f7:d4,42.2,234304,0.93,0.0
30,2025-11-15 21:59:39,40:4c:ca:5e:0f:34,34.1,206516,0.94,99.06
31,2025-11-15 22:01:33,40:4c:ca:5e:09:2c,40.6,232196,0.98,0.0
32,2025-11-15 22:02:32,40:4c:ca:5d:f3:b8,37.7,234724,0.97,0.0
33,2025-11-15 22:02:33,40:4c:ca:5e:02:44,39.1,231960,1.1,0.0
34,2025-11-15 22:02:34,40:4c:ca:5d:f7:d4,42.2,234304,0.9,0.0
35,2025-11-15 22:04:39,40:4c:ca:5e:0f:34,34.1,206516,0.93,99.07
36,2025-11-15 22:06:33,40:4c:ca:5e:09:2c,40.6,232196,0.95,0.0
37,2025-11-15 22:07:32,40:4c:ca:5d:f3:b8,37.7,234928,0.94,0.0
38,2025-11-15 22:07:33,40:4c:ca:5e:02:44,40.1,231940,1.07,0.0
39,2025-11-15 22:07:34,40:4c:ca:5d:f7:d4,42.2,234304,0.89,0.0
40,2025-11-15 22:09:39,40:4c:ca:5e:0f:34,34.1,206328,0.92,99.08
41,2025-11-15 22:11:33,40:4c:ca:5e:09:2c,40.6,232192,0.93,0.0
42,2025-11-15 22:12:32,40:4c:ca:5d:f3:b8,37.7,234724,0.93,0.0
43,2025-11-15 22:12:33,40:4c:ca:5e:02:44,39.1,231960,1.05,0.0
44,2025-11-15 22:12:35,40:4c:ca:5d:f7:d4,42.2,234304,0.88,0.0
45,2025-11-15 22:14:39,40:4c:ca:5e:0f:34,34.1,206328,0.91,99.09
46,2025-11-15 22:16:33,40:4c:ca:5e:09:2c,40.6,232196,0.91,0.0
47,2025-11-15 22:17:32,40:4c:ca:5d:f3:b8,37.7,234724,0.91,0.0
48,2025-11-15 22:17:33,40:4c:ca:5e:02:44,39.1,231960,1.03,0.0
49,2025-11-15 22:17:35,40:4c:ca:5d:f7:d4,42.2,234304,0.86,0.0
50,2025-11-15 22:19:39,40:4c:ca:5e:0f:34,34.1,206328,0.91,99.09
51,2025-11-15 22:21:33,40:4c:ca:5e:09:2c,40.6,232192,0.9,0.0
52,2025-11-15 22:22:32,40:4c:ca:5d:f3:b8,37.7,234724,0.91,0.0
53,2025-11-15 22:22:33,40:4c:ca:5e:02:44,39.1,231956,1.01,0.0
54,2025-11-15 22:22:37,40:4c:ca:5d:f7:d4,42.2,234304,0.87,0.0
55,2025-11-15 22:24:39,40:4c:ca:5e:0f:34,34.1,206328,0.9,99.1
56,2025-11-15 22:26:33,40:4c:ca:5e:09:2c,40.6,232192,0.89,0.0
57,2025-11-15 22:27:32,40:4c:ca:5d:f3:b8,37.7,234928,0.9,0.0
58,2025-11-15 22:27:33,40:4c:ca:5e:02:44,39.1,231960,1.0,0.0
59,2025-11-15 22:27:35,40:4c:ca:5d:f7:d4,42.2,234304,0.86,0.0
60,2025-11-15 22:29:39,40:4c:ca:5e:0f:34,34.1,206308,0.9,99.1
61,2025-11-15 22:31:33,40:4c:ca:5e:09:2c,40.6,232204,0.88,0.0
62,2025-11-15 22:32:33,40:4c:ca:5d:f3:b8,37.7,234496,0.89,0.0
63,2025-11-15 22:32:33,40:4c:ca:5e:02:44,40.1,231952,0.98,0.0
64,2025-11-15 22:32:35,40:4c:ca:5d:f7:d4,42.2,234304,0.85,0.0
65,2025-11-15 22:34:39,40:4c:ca:5e:0f:34,34.1,206328,0.89,99.11
66,2025-11-15 22:36:33,40:4c:ca:5e:09:2c,39.6,232192,0.87,0.0
67,2025-11-15 22:37:33,40:4c:ca:5d:f3:b8,37.7,234928,0.88,0.0
68,2025-11-15 22:37:33,40:4c:ca:5e:02:44,40.1,231960,0.97,0.0
69,2025-11-15 22:37:35,40:4c:ca:5d:f7:d4,42.2,234304,0.84,0.0
70,2025-11-15 22:39:39,40:4c:ca:5e:0f:34,34.1,206328,0.89,99.11
71,2025-11-15 22:41:33,40:4c:ca:5e:09:2c,39.6,232192,0.86,0.0
72,2025-11-15 22:42:33,40:4c:ca:5d:f3:b8,37.7,234724,0.87,0.0
73,2025-11-15 22:42:33,40:4c:ca:5e:02:44,40.1,231956,0.96,0.0
74,2025-11-15 22:42:35,40:4c:ca:5d:f7:d4,42.2,234304,0.83,0.0
75,2025-11-15 22:44:39,40:4c:ca:5e:0f:34,34.1,206328,19.22,80.78
76,2025-11-15 22:46:33,40:4c:ca:5e:09:2c,39.6,232204,0.85,0.0
77,2025-11-15 22:47:33,40:4c:ca:5d:f3:b8,37.7,234724,18.85,0.0
78,2025-11-15 22:47:33,40:4c:ca:5e:02:44,39.1,232172,20.67,0.0
79,2025-11-15 22:47:35,40:4c:ca:5d:f7:d4,42.2,234304,18.0,0.0
80,2025-11-15 22:49:39,40:4c:ca:5e:0f:34,34.1,206328,8.35,91.65
81,2025-11-15 22:51:33,40:4c:ca:5e:09:2c,39.6,232192,18.38,0.0
82,2025-11-15 22:52:33,40:4c:ca:5d:f3:b8,37.7,234724,8.17,0.0
83,2025-11-15 22:52:33,40:4c:ca:5e:02:44,39.1,231972,8.95,0.0
84,2025-11-15 22:52:35,40:4c:ca:5d:f7:d4,42.2,234304,7.82,0.0
85,2025-11-15 22:54:39,40:4c:ca:5e:0f:34,34.1,206328,5.56,94.44
86,2025-11-15 22:56:33,40:4c:ca:5e:09:2c,40.6,232204,7.97,0.0
87,2025-11-15 22:57:33,40:4c:ca:5d:f3:b8,37.7,234724,5.41,0.0
88,2025-11-15 22:57:33,40:4c:ca:5e:02:44,39.1,231952,5.94,0.0
89,2025-11-15 22:57:37,40:4c:ca:5d:f7:d4,42.2,234304,5.18,0.0
90,2025-11-15 22:59:39,40:4c:ca:5e:0f:34,34.1,206328,4.28,95.72
91,2025-11-15 23:01:33,40:4c:ca:5e:09:2c,39.6,232204,5.29,0.0
92,2025-11-15 23:02:33,40:4c:ca:5d:f3:b8,37.7,234724,4.17,0.0
93,2025-11-15 23:02:33,40:4c:ca:5e:02:44,40.1,231952,4.55,0.0
94,2025-11-15 23:02:36,40:4c:ca:5d:f7:d4,42.2,234304,3.99,0.0
95,2025-11-15 23:04:39,40:4c:ca:5e:0f:34,34.1,206328,3.55,96.45
96,2025-11-15 23:06:33,40:4c:ca:5e:09:2c,39.6,232192,4.07,0.0
97,2025-11-15 23:07:37,40:4c:ca:5d:f7:d4,42.2,234304,3.3,0.0
98,2025-11-15 23:09:39,40:4c:ca:5e:0f:34,34.1,209032,3.07,96.93
99,2025-11-15 23:11:33,40:4c:ca:5e:09:2c,40.6,232368,3.39,0.0
100,2025-11-15 23:12:33,40:4c:ca:5d:f3:b8,37.7,235188,3.04,0.0
101,2025-11-15 23:12:37,40:4c:ca:5d:f7:d4,42.2,232200,2.87,0.0
102,2025-11-15 23:14:39,40:4c:ca:5e:0f:34,34.1,209032,2.72,97.28
103,2025-11-15 23:16:33,40:4c:ca:5e:09:2c,39.6,232368,2.93,0.0
104,2025-11-15 23:17:33,40:4c:ca:5d:f3:b8,36.7,235164,2.7,0.0
105,2025-11-15 23:17:37,40:4c:ca:5d:f7:d4,42.2,232196,2.55,0.0
106,2025-11-15 23:19:39,40:4c:ca:5e:0f:34,34.1,209032,2.47,97.53
107,2025-11-15 23:21:33,40:4c:ca:5e:09:2c,39.6,232368,2.6,0.0
108,2025-11-15 23:22:33,40:4c:ca:5d:f3:b8,37.7,235164,2.44,0.0
109,2025-11-15 23:22:37,40:4c:ca:5d:f7:d4,42.2,232204,2.32,0.0
110,2025-11-15 23:24:39,40:4c:ca:5e:0f:34,34.1,209032,2.27,97.73
111,2025-11-15 23:26:33,40:4c:ca:5e:09:2c,39.6,232368,2.36,0.0
112,2025-11-15 23:27:33,40:4c:ca:5d:f3:b8,37.7,235164,2.24,0.0
113,2025-11-15 23:27:37,40:4c:ca:5d:f7:d4,42.2,232204,2.13,0.0
114,2025-11-15 23:29:39,40:4c:ca:5e:0f:34,34.1,209008,2.12,97.88
115,2025-11-15 23:31:33,40:4c:ca:5e:09:2c,39.6,228664,2.18,0.0
116,2025-11-15 23:32:33,40:4c:ca:5d:f3:b8,36.7,235172,2.08,0.0
117,2025-11-15 23:32:37,40:4c:ca:5d:f7:d4,42.2,231460,1.99,0.0
118,2025-11-15 23:34:39,40:4c:ca:5e:0f:34,34.1,209028,1.99,98.01
119,2025-11-15 23:36:33,40:4c:ca:5e:09:2c,39.6,232368,2.03,0.0
120,2025-11-15 23:37:33,40:4c:ca:5d:f3:b8,36.7,235172,1.95,0.0
121,2025-11-15 23:37:37,40:4c:ca:5d:f7:d4,42.2,232204,1.88,0.0
122,2025-11-15 23:39:39,40:4c:ca:5e:0f:34,34.1,209028,1.88,98.12
123,2025-11-15 23:41:33,40:4c:ca:5e:09:2c,39.6,232368,1.91,0.0
124,2025-11-15 23:42:33,40:4c:ca:5d:f3:b8,37.7,235164,1.84,0.0
125,2025-11-15 23:42:37,40:4c:ca:5d:f7:d4,42.2,232204,1.78,0.0
126,2025-11-15 23:44:40,40:4c:ca:5e:0f:34,34.1,209028,1.79,98.21
127,2025-11-15 23:46:33,40:4c:ca:5e:09:2c,39.6,232368,1.81,0.0
128,2025-11-15 23:47:33,40:4c:ca:5d:f3:b8,36.7,234972,1.75,0.0
129,2025-11-15 23:47:37,40:4c:ca:5d:f7:d4,42.2,232200,1.7,0.0
130,2025-11-15 23:49:40,40:4c:ca:5e:0f:34,34.1,209028,1.72,98.28
131,2025-11-15 23:51:33,40:4c:ca:5e:09:2c,40.6,232368,1.73,0.0
132,2025-11-15 23:52:33,40:4c:ca:5d:f3:b8,37.7,235184,1.68,0.0
133,2025-11-15 23:52:37,40:4c:ca:5d:f7:d4,42.2,232204,1.63,0.0
134,2025-11-15 23:54:40,40:4c:ca:5e:0f:34,34.1,209028,63.89,36.11
135,2025-11-15 23:56:33,40:4c:ca:5e:09:2c,39.6,232368,1.66,0.0
136,2025-11-15 23:57:33,40:4c:ca:5d:f3:b8,36.7,235172,62.55,0.0
137,2025-11-15 23:57:37,40:4c:ca:5d:f7:d4,42.2,232204,60.97,0.0
138,2025-11-15 23:59:40,40:4c:ca:5e:0f:34,34.1,209028,18.14,81.86
139,2025-11-16 00:01:33,40:4c:ca:5e:09:2c,39.6,232368,61.94,0.0
140,2025-11-16 00:02:33,40:4c:ca:5d:f3:b8,37.7,235592,17.74,0.0
141,2025-11-16 00:02:39,40:4c:ca:5d:f7:d4,42.2,231064,17.34,0.0
142,2025-11-16 00:04:40,40:4c:ca:5e:0f:34,34.1,209028,10.84,89.16
143,2025-11-16 00:06:33,40:4c:ca:5e:09:2c,39.6,232368,17.59,0.0
144,2025-11-16 00:07:33,40:4c:ca:5d:f3:b8,36.7,235172,10.6,0.0
145,2025-11-16 00:07:39,40:4c:ca:5d:f7:d4,42.2,232200,10.36,0.0
146,2025-11-16 00:09:40,40:4c:ca:5e:0f:34,34.1,209028,7.86,92.14
147,2025-11-16 00:11:33,40:4c:ca:5e:09:2c,39.6,232368,10.52,0.0
148,2025-11-16 00:12:33,40:4c:ca:5d:f3:b8,36.7,235164,7.69,0.0
149,2025-11-16 00:12:39,40:4c:ca:5d:f7:d4,42.2,232204,7.53,0.0
150,2025-11-16 00:14:40,40:4c:ca:5e:0f:34,34.1,209028,6.23,93.77
151,2025-11-16 00:16:33,40:4c:ca:5e:09:2c,40.6,232364,7.63,0.0
152,2025-11-16 00:17:33,40:4c:ca:5d:f3:b8,36.7,235164,6.09,0.0
153,2025-11-16 00:17:39,40:4c:ca:5d:f7:d4,42.2,232200,5.99,0.0
154,2025-11-16 00:19:40,40:4c:ca:5e:0f:34,34.1,209028,5.21,94.79
155,2025-11-16 00:21:33,40:4c:ca:5e:09:2c,39.6,232364,6.06,0.0
156,2025-11-16 00:22:33,40:4c:ca:5d:f3:b8,36.7,235172,5.1,0.0
157,2025-11-16 00:22:39,40:4c:ca:5d:f7:d4,42.2,232200,5.01,0.0
158,2025-11-16 00:24:40,40:4c:ca:5e:0f:34,34.1,209028,4.51,95.49
159,2025-11-16 00:26:33,40:4c:ca:5e:09:2c,39.6,232368,5.07,0.0
160,2025-11-16 00:27:33,40:4c:ca:5d:f3:b8,36.7,235164,4.41,0.0
161,2025-11-16 00:27:39,40:4c:ca:5d:f7:d4,41.2,232204,4.35,0.0
162,2025-11-16 00:29:40,40:4c:ca:5e:0f:34,34.1,209008,4.0,96.0
163,2025-11-16 00:31:33,40:4c:ca:5e:09:2c,39.6,232368,4.4,0.0
164,2025-11-16 00:32:34,40:4c:ca:5d:f3:b8,36.7,235164,3.92,0.0
165,2025-11-16 00:32:39,40:4c:ca:5d:f7:d4,41.2,232204,3.86,0.0
166,2025-11-16 00:34:40,40:4c:ca:5e:0f:34,34.1,209056,3.62,96.38
167,2025-11-16 00:36:33,40:4c:ca:5e:09:2c,39.6,232368,3.9,0.0
168,2025-11-16 00:37:33,40:4c:ca:5d:f3:b8,36.7,235172,3.54,0.0
169,2025-11-16 00:37:40,40:4c:ca:5d:f7:d4,41.2,232200,3.49,0.0
170,2025-11-16 00:39:40,40:4c:ca:5e:0f:34,34.1,209056,3.31,96.69
171,2025-11-16 00:41:33,40:4c:ca:5e:09:2c,39.6,232368,3.53,0.0
172,2025-11-16 00:42:33,40:4c:ca:5d:f3:b8,36.7,235172,3.24,0.0
173,2025-11-16 00:42:39,40:4c:ca:5d:f7:d4,42.2,232204,3.2,0.0
174,2025-11-16 00:44:40,40:4c:ca:5e:0f:34,34.1,209056,3.06,96.94
175,2025-11-16 00:46:33,40:4c:ca:5e:09:2c,39.6,232368,3.23,0.0
176,2025-11-16 00:47:33,40:4c:ca:5d:f3:b8,36.7,235172,3.0,0.0
177,2025-11-16 00:47:39,40:4c:ca:5d:f7:d4,41.2,232204,2.97,0.0
178,2025-11-16 00:49:40,40:4c:ca:5e:0f:34,34.1,209056,2.86,97.14
179,2025-11-16 00:51:33,40:4c:ca:5e:09:2c,39.6,232364,2.99,0.0
180,2025-11-16 00:52:33,40:4c:ca:5d:f3:b8,36.7,235160,2.8,0.0
181,2025-11-16 00:52:39,40:4c:ca:5d:f7:d4,42.2,232200,2.78,0.0
182,2025-11-16 00:54:40,40:4c:ca:5e:0f:34,34.1,209056,2.69,97.31
183,2025-11-16 00:56:33,40:4c:ca:5e:09:2c,39.6,232368,2.8,0.0
184,2025-11-16 00:57:33,40:4c:ca:5d:f3:b8,36.7,235180,2.63,0.0
185,2025-11-16 00:57:39,40:4c:ca:5d:f7:d4,41.2,232204,2.62,0.0
186,2025-11-16 00:59:40,40:4c:ca:5e:0f:34,34.1,209056,2.55,97.45
187,2025-11-16 01:01:33,40:4c:ca:5e:09:2c,39.6,232368,2.63,0.0
188,2025-11-16 01:02:33,40:4c:ca:5d:f3:b8,36.7,235180,2.49,0.0
189,2025-11-16 01:02:39,40:4c:ca:5d:f7:d4,42.2,232412,2.48,0.0
190,2025-11-16 01:06:33,40:4c:ca:5e:09:2c,39.6,232368,2.5,0.0
191,2025-11-16 01:07:33,40:4c:ca:5d:f3:b8,36.7,235180,-20432.97,0.0
192,2025-11-16 01:07:39,40:4c:ca:5d:f7:d4,41.2,232200,-20446.29,0.0
193,2025-11-16 01:09:40,40:4c:ca:5e:0f:34,34.1,209000,33.29,66.71
194,2025-11-16 01:11:33,40:4c:ca:5e:09:2c,39.6,232368,-20441.97,0.0
195,2025-11-16 01:12:33,40:4c:ca:5d:f3:b8,36.7,235176,32.6,0.0
196,2025-11-16 01:12:39,40:4c:ca:5d:f7:d4,41.2,232204,32.47,0.0
197,2025-11-16 01:14:40,40:4c:ca:5e:0f:34,34.1,209020,17.57,82.43
198,2025-11-16 01:16:33,40:4c:ca:5e:09:2c,39.6,232368,32.71,0.0
199,2025-11-16 01:17:33,40:4c:ca:5d:f3:b8,36.7,235176,17.18,0.0
200,2025-11-16 01:17:40,40:4c:ca:5d:f7:d4,41.2,232204,17.12,0.0
201,2025-11-16 01:19:40,40:4c:ca:5e:0f:34,34.1,209020,12.09,87.91
202,2025-11-16 01:21:33,40:4c:ca:5e:09:2c,39.6,232368,17.28,0.0
203,2025-11-16 01:22:33,40:4c:ca:5d:f3:b8,36.7,235180,11.82,0.0
