id,timestamp,mac,temp_interna,free_heap,cpu_total,cpu_idle
4142,2025-11-29 07:50:22,40:4c:ca:5e:09:2c,32.6,212068,96.94,3.06
4143,2025-11-29 07:52:21,40:4c:ca:5d:f3:b8,31.7,236100,96.43,0.0
4144,2025-11-29 07:53:20,40:4c:ca:5d:f3:b8,34.7,235952,96.85,0.0
4145,2025-11-29 07:55:22,40:4c:ca:5e:09:2c,40.6,209216,1.57,98.43
4146,2025-11-29 07:58:20,40:4c:ca:5d:f3:b8,39.7,235664,1.29,0.0
4147,2025-11-29 08:00:22,40:4c:ca:5e:09:2c,40.6,209216,1.18,98.82
4148,2025-11-29 08:03:20,40:4c:ca:5d:f3:b8,40.7,235632,1.04,0.0
4149,2025-11-29 08:05:22,40:4c:ca:5e:09:2c,41.6,209216,1.05,98.95
4150,2025-11-29 08:08:20,40:4c:ca:5d:f3:b8,40.7,235624,0.96,0.0
4151,2025-11-29 08:10:22,40:4c:ca:5e:09:2c,41.6,209216,0.99,99.01
4152,2025-11-29 08:13:20,40:4c:ca:5d:f3:b8,40.7,235632,0.9,0.0
4153,2025-11-29 08:15:22,40:4c:ca:5e:09:2c,39.6,209216,0.95,99.05
4154,2025-11-29 08:18:20,40:4c:ca:5d:f3:b8,40.7,235632,0.88,0.0
4155,2025-11-29 08:20:22,40:4c:ca:5e:09:2c,39.6,209028,0.92,99.08
4156,2025-11-29 08:23:20,40:4c:ca:5d:f3:b8,40.7,235624,0.86,0.0
4157,2025-11-29 08:25:22,40:4c:ca:5e:09:2c,39.6,209028,0.9,99.1
4158,2025-11-29 08:27:18,40:4c:ca:5e:09:2c,38.6,212124,96.42,3.58
4159,2025-11-29 08:28:18,40:4c:ca:5e:09:2c,40.6,212028,96.47,3.53
4160,2025-11-29 08:30:41,40:4c:ca:5e:09:2c,36.6,212096,96.61,3.39
4161,2025-11-29 08:32:41,40:4c:ca:5d:f3:b8,33.7,235644,94.75,0.0
4162,2025-11-29 08:35:41,40:4c:ca:5e:09:2c,39.6,209284,1.21,98.79
4163,2025-11-29 08:37:41,40:4c:ca:5d:f3:b8,38.7,235316,1.26,0.0
4164,2025-11-29 08:40:41,40:4c:ca:5e:09:2c,39.6,209252,0.97,99.03
4165,2025-11-29 08:42:41,40:4c:ca:5d:f3:b8,38.7,235324,0.99,0.0
4166,2025-11-29 08:45:41,40:4c:ca:5e:09:2c,39.6,209252,0.89,99.11
4167,2025-11-29 08:47:41,40:4c:ca:5d:f3:b8,39.7,235284,0.9,0.0
4168,2025-11-29 08:50:42,40:4c:ca:5e:09:2c,39.6,209252,0.85,99.15
4169,2025-11-29 08:52:41,40:4c:ca:5d:f3:b8,39.7,235284,0.85,0.0
4170,2025-11-29 08:55:42,40:4c:ca:5e:09:2c,40.6,209252,0.83,99.17
4171,2025-11-29 08:57:41,40:4c:ca:5d:f3:b8,39.7,235292,0.83,0.0
4172,2025-11-29 09:00:42,40:4c:ca:5e:09:2c,39.6,209252,0.81,99.19
4173,2025-11-29 09:02:41,40:4c:ca:5d:f3:b8,38.7,235284,0.81,0.0
4174,2025-11-29 09:05:42,40:4c:ca:5e:09:2c,39.6,209252,0.8,99.2
4175,2025-11-29 09:07:41,40:4c:ca:5d:f3:b8,39.7,235284,0.81,0.0
4176,2025-11-29 09:10:42,40:4c:ca:5e:09:2c,39.6,209252,0.79,99.21
4177,2025-11-29 09:12:41,40:4c:ca:5d:f3:b8,40.7,235296,0.81,0.0
4178,2025-11-29 09:15:42,40:4c:ca:5e:09:2c,39.6,209252,0.79,99.21
4179,2025-11-29 09:17:41,40:4c:ca:5d:f3:b8,40.7,235480,0.8,0.0
4180,2025-11-29 09:20:42,40:4c:ca:5e:09:2c,40.6,209064,0.79,99.21
4181,2025-11-29 09:22:41,40:4c:ca:5d:f3:b8,40.7,235288,0.81,0.0
4182,2025-11-29 09:25:42,40:4c:ca:5e:09:2c,40.6,209032,0.78,99.22
4183,2025-11-29 09:27:42,40:4c:ca:5d:f3:b8,40.7,235288,0.81,0.0
4184,2025-11-29 09:30:42,40:4c:ca:5e:09:2c,40.6,209016,0.78,99.22
4185,2025-11-29 09:32:41,40:4c:ca:5d:f3:b8,39.7,235292,0.81,0.0
4186,2025-11-29 09:35:42,40:4c:ca:5e:09:2c,40.6,209036,0.78,99.22
4187,2025-11-29 09:37:41,40:4c:ca:5d:f3:b8,40.7,235288,0.81,0.0
4188,2025-11-29 09:40:42,40:4c:ca:5e:09:2c,39.6,209036,0.77,99.23
4189,2025-11-29 09:42:41,40:4c:ca:5d:f3:b8,39.7,235288,0.8,0.0
4190,2025-11-29 09:45:42,40:4c:ca:5e:09:2c,39.6,209036,16.75,83.25
4191,2025-11-29 09:47:42,40:4c:ca:5d:f3:b8,40.7,235292,17.44,0.0
4192,2025-11-29 09:50:42,40:4c:ca:5e:09:2c,40.6,209032,7.28,92.72
4193,2025-11-29 09:52:41,40:4c:ca:5d:f3:b8,40.7,235292,7.56,0.0
4194,2025-11-29 09:55:42,40:4c:ca:5e:09:2c,40.6,209032,4.84,95.16
4195,2025-11-29 09:57:41,40:4c:ca:5d:f3:b8,40.7,235288,5.04,0.0
4196,2025-11-29 10:00:42,40:4c:ca:5e:09:2c,39.6,209032,3.73,96.27
4197,2025-11-29 10:02:42,40:4c:ca:5d:f3:b8,39.7,235292,3.87,0.0
4198,2025-11-29 10:05:42,40:4c:ca:5e:09:2c,40.6,209032,3.08,96.92
4199,2025-11-29 10:07:42,40:4c:ca:5d:f3:b8,40.7,235484,3.19,0.0
4200,2025-11-29 10:10:42,40:4c:ca:5e:09:2c,40.6,209032,2.67,97.33
4201,2025-11-29 10:12:41,40:4c:ca:5d:f3:b8,39.7,235288,2.75,0.0
4202,2025-11-29 10:15:42,40:4c:ca:5e:09:2c,40.6,209032,2.38,97.62
4203,2025-11-29 10:17:42,40:4c:ca:5d:f3:b8,39.7,235500,2.45,0.0
4204,2025-11-29 10:20:42,40:4c:ca:5e:09:2c,39.6,209032,2.16,97.84
4205,2025-11-29 10:22:42,40:4c:ca:5d:f3:b8,40.7,235292,2.22,0.0
4206,2025-11-29 10:25:42,40:4c:ca:5e:09:2c,40.6,209032,1.99,98.01
4207,2025-11-29 10:27:41,40:4c:ca:5d:f3:b8,39.7,235292,2.04,0.0
4208,2025-11-29 14:30:42,40:4c:ca:5e:09:2c,28.6,212060,96.41,3.59
4209,2025-11-29 14:32:34,40:4c:ca:5d:f3:b8,32.7,235668,95.74,0.0
4210,2025-11-29 14:35:42,40:4c:ca:5e:09:2c,38.6,209380,1.32,98.68
4211,2025-11-29 14:37:34,40:4c:ca:5d:f3:b8,40.7,235340,1.87,0.0
4212,2025-11-29 14:40:42,40:4c:ca:5e:09:2c,40.6,209344,1.08,98.92
4213,2025-11-29 14:42:34,40:4c:ca:5d:f3:b8,41.7,235312,1.33,0.0
4214,2025-11-29 14:45:42,40:4c:ca:5e:09:2c,40.6,209344,0.99,99.01
4215,2025-11-29 14:47:34,40:4c:ca:5d:f3:b8,41.7,235320,1.14,0.0
4216,2025-11-29 14:50:42,40:4c:ca:5e:09:2c,40.6,209344,0.94,99.06
4217,2025-11-29 14:52:34,40:4c:ca:5d:f3:b8,41.7,235320,1.05,0.0
4218,2025-11-29 14:55:42,40:4c:ca:5e:09:2c,40.6,209344,0.91,99.09
4219,2025-11-29 14:57:34,40:4c:ca:5d:f3:b8,41.7,235320,1.0,0.0
4220,2025-11-29 15:00:42,40:4c:ca:5e:09:2c,40.6,209344,0.9,99.1
4221,2025-11-29 15:02:34,40:4c:ca:5d:f3:b8,41.7,235320,0.96,0.0
