id,timestamp,mac,rssi,mac_pai
8922,2025-10-11 09:49:44,40:4c:ca:5e:09:2c,-58,null
8923,2025-10-11 09:54:13,40:4c:ca:5e:00:a0,-87,40:4c:ca:5e:09:2d
8924,2025-10-11 09:54:44,40:4c:ca:5e:09:2c,-57,null
8925,2025-10-11 09:59:13,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8926,2025-10-11 09:59:44,40:4c:ca:5e:09:2c,-52,null
8927,2025-10-11 10:00:35,40:4c:ca:5d:e6:e8,-68,40:4c:ca:5e:09:2d
8928,2025-10-11 10:04:13,40:4c:ca:5e:00:a0,-84,40:4c:ca:5e:09:2d
8929,2025-10-11 10:04:44,40:4c:ca:5e:09:2c,-59,null
8930,2025-10-11 10:05:35,40:4c:ca:5d:e6:e8,-67,40:4c:ca:5e:09:2d
8931,2025-10-11 10:13:12,40:4c:ca:5e:09:2c,-59,null
8932,2025-10-11 10:13:12,40:4c:ca:5e:00:a0,-83,40:4c:ca:5e:09:2d
8933,2025-10-11 10:14:36,40:4c:ca:5e:00:a0,-83,40:4c:ca:5e:09:2d
8934,2025-10-11 10:18:46,40:4c:ca:5e:09:2c,-57,null
8935,2025-10-11 10:19:36,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8936,2025-10-11 10:23:46,40:4c:ca:5e:09:2c,-58,null
8937,2025-10-11 10:24:36,40:4c:ca:5e:00:a0,-84,40:4c:ca:5e:09:2d
8938,2025-10-11 10:28:46,40:4c:ca:5e:09:2c,-53,null
8939,2025-10-11 10:29:36,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8940,2025-10-11 10:33:46,40:4c:ca:5e:09:2c,-59,null
8941,2025-10-11 10:34:36,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8942,2025-10-11 10:38:46,40:4c:ca:5e:09:2c,-59,null
8943,2025-10-11 10:39:36,40:4c:ca:5e:00:a0,-84,40:4c:ca:5e:09:2d
8944,2025-10-11 10:43:46,40:4c:ca:5e:09:2c,-58,null
8945,2025-10-11 10:44:36,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8946,2025-10-11 10:48:46,40:4c:ca:5e:09:2c,-59,null
8947,2025-10-11 10:49:37,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8948,2025-10-11 10:53:46,40:4c:ca:5e:09:2c,-59,null
8949,2025-10-11 10:54:37,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8950,2025-10-11 10:58:46,40:4c:ca:5e:09:2c,-60,null
8951,2025-10-11 10:59:37,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8952,2025-10-11 11:03:46,40:4c:ca:5e:09:2c,-58,null
8953,2025-10-11 11:04:37,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8954,2025-10-11 11:08:46,40:4c:ca:5e:09:2c,-59,null
8955,2025-10-11 11:09:37,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8956,2025-10-11 11:13:46,40:4c:ca:5e:09:2c,-53,null
8957,2025-10-11 11:14:37,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8958,2025-10-11 11:18:46,40:4c:ca:5e:09:2c,-59,null
8959,2025-10-11 11:19:38,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8960,2025-10-11 11:23:46,40:4c:ca:5e:09:2c,-58,null
8961,2025-10-11 11:24:38,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8962,2025-10-11 11:28:46,40:4c:ca:5e:09:2c,-58,null
8963,2025-10-11 11:29:38,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8964,2025-10-11 11:33:46,40:4c:ca:5e:09:2c,-59,null
8965,2025-10-11 11:34:38,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8966,2025-10-11 11:38:46,40:4c:ca:5e:09:2c,-52,null
8967,2025-10-11 11:39:38,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8968,2025-10-11 11:43:46,40:4c:ca:5e:09:2c,-58,null
8969,2025-10-11 11:44:38,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8970,2025-10-11 11:48:46,40:4c:ca:5e:09:2c,-60,null
8971,2025-10-11 11:49:38,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8972,2025-10-11 11:53:46,40:4c:ca:5e:09:2c,-60,null
8973,2025-10-11 11:54:38,40:4c:ca:5e:00:a0,-87,40:4c:ca:5e:09:2d
8974,2025-10-11 11:58:46,40:4c:ca:5e:09:2c,-59,null
8975,2025-10-11 11:59:39,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8976,2025-10-11 12:03:46,40:4c:ca:5e:09:2c,-58,null
8977,2025-10-11 12:04:39,40:4c:ca:5e:00:a0,-88,40:4c:ca:5e:09:2d
8978,2025-10-11 12:08:46,40:4c:ca:5e:09:2c,-59,null
8979,2025-10-11 12:09:39,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8980,2025-10-11 12:13:46,40:4c:ca:5e:09:2c,-58,null
8981,2025-10-11 12:14:39,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8982,2025-10-11 12:18:46,40:4c:ca:5e:09:2c,-58,null
8983,2025-10-11 12:19:39,40:4c:ca:5e:00:a0,-87,40:4c:ca:5e:09:2d
8984,2025-10-11 12:23:46,40:4c:ca:5e:09:2c,-58,null
8985,2025-10-11 12:24:39,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8986,2025-10-11 12:28:46,40:4c:ca:5e:09:2c,-58,null
8987,2025-10-11 12:29:39,40:4c:ca:5e:00:a0,-86,40:4c:ca:5e:09:2d
8988,2025-10-11 12:33:46,40:4c:ca:5e:09:2c,-57,null
8989,2025-10-11 12:34:40,40:4c:ca:5e:00:a0,-85,40:4c:ca:5e:09:2d
8990,2025-10-11 12:38:47,40:4c:ca:5e:09:2c,-58,null
8991,2025-10-11 12:39:40,40:4c:ca:5e:00:a0,-87,40:4c:ca:5e:09:2d
