id,timestamp,mac,temperatura,umidade,latencia,hops
8270,2025-10-26 10:28:06,40:4c:ca:5e:09:2c,23.62,86.29,39,1
8271,2025-10-26 10:28:07,40:4c:ca:5d:e6:e8,30.33,86.43,47,2
8272,2025-10-26 10:31:05,40:4c:ca:5d:ec:4c,30.33,86.43,58,1
8273,2025-10-26 10:33:06,40:4c:ca:5e:09:2c,25.0,75.08,55,1
8274,2025-10-26 10:33:07,40:4c:ca:5d:e6:e8,23.62,86.29,56,1
8275,2025-10-26 10:37:07,40:4c:ca:5d:ec:4c,30.33,86.43,64,1
8276,2025-10-26 10:38:06,40:4c:ca:5e:09:2c,27.52,78.56,42,1
8277,2025-10-26 10:38:07,40:4c:ca:5d:e6:e8,25.0,75.08,48,1
8278,2025-10-26 10:43:06,40:4c:ca:5e:09:2c,23.56,64.19,49,1
8279,2025-10-26 10:43:07,40:4c:ca:5d:e6:e8,27.52,78.56,44,1
8280,2025-10-26 10:48:06,40:4c:ca:5e:09:2c,20.11,76.51,44,1
8281,2025-10-26 10:48:07,40:4c:ca:5d:e6:e8,23.56,64.19,42,1
8282,2025-10-26 10:53:06,40:4c:ca:5e:09:2c,23.43,82.05,45,1
8283,2025-10-26 10:53:07,40:4c:ca:5d:e6:e8,20.11,76.51,45,1
8284,2025-10-26 10:56:06,40:4c:ca:5d:ec:4c,30.33,86.43,63,2
8285,2025-10-26 10:58:06,40:4c:ca:5e:09:2c,29.08,88.93,48,1
8286,2025-10-26 10:58:07,40:4c:ca:5d:e6:e8,23.43,82.05,47,1
8287,2025-10-26 11:01:06,40:4c:ca:5d:ec:4c,23.62,86.29,58,2
8288,2025-10-26 11:03:06,40:4c:ca:5e:09:2c,28.3,61.66,52,1
8289,2025-10-26 11:03:07,40:4c:ca:5d:e6:e8,29.08,88.93,54,1
8290,2025-10-26 11:06:06,40:4c:ca:5d:ec:4c,25.0,75.08,51,2
8291,2025-10-26 11:08:06,40:4c:ca:5e:09:2c,27.69,70.32,38,1
8292,2025-10-26 11:08:07,40:4c:ca:5d:e6:e8,28.3,61.66,56,1
8293,2025-10-26 11:11:07,40:4c:ca:5d:ec:4c,27.52,78.56,57,2
8294,2025-10-26 11:13:06,40:4c:ca:5e:09:2c,28.17,67.47,60,1
8295,2025-10-26 11:13:07,40:4c:ca:5d:e6:e8,27.69,70.32,53,1
8296,2025-10-26 11:16:06,40:4c:ca:5d:ec:4c,23.56,64.19,60,2
8297,2025-10-26 11:18:06,40:4c:ca:5e:09:2c,23.72,61.68,60,1
8298,2025-10-26 11:18:07,40:4c:ca:5d:e6:e8,28.17,67.47,61,1
8299,2025-10-26 11:21:07,40:4c:ca:5d:ec:4c,20.11,76.51,56,2
8300,2025-10-26 11:23:06,40:4c:ca:5e:09:2c,24.8,69.23,61,1
8301,2025-10-26 11:23:07,40:4c:ca:5d:e6:e8,23.72,61.68,60,1
8302,2025-10-26 11:26:06,40:4c:ca:5d:ec:4c,23.43,82.05,61,2
8303,2025-10-26 11:28:06,40:4c:ca:5e:09:2c,24.49,65.92,54,1
8304,2025-10-26 11:28:07,40:4c:ca:5d:e6:e8,24.8,69.23,61,1
8305,2025-10-26 11:31:06,40:4c:ca:5d:ec:4c,29.08,88.93,61,2
8306,2025-10-26 11:33:06,40:4c:ca:5e:09:2c,18.64,63.69,62,1
8307,2025-10-26 11:33:07,40:4c:ca:5d:e6:e8,24.49,65.92,58,1
8308,2025-10-26 11:36:06,40:4c:ca:5d:ec:4c,28.3,61.66,67,2
8309,2025-10-26 11:38:06,40:4c:ca:5e:09:2c,24.51,60.27,55,1
8310,2025-10-26 11:38:07,40:4c:ca:5d:e6:e8,18.64,63.69,65,1
8311,2025-10-26 11:41:07,40:4c:ca:5d:ec:4c,27.69,70.32,73,2
8312,2025-10-26 11:43:06,40:4c:ca:5e:09:2c,27.9,61.24,70,1
8313,2025-10-26 11:43:07,40:4c:ca:5d:e6:e8,24.51,60.27,80,1
8314,2025-10-26 11:46:06,40:4c:ca:5d:ec:4c,28.17,67.47,70,2
8315,2025-10-26 11:48:06,40:4c:ca:5e:09:2c,20.35,76.2,56,1
8316,2025-10-26 11:48:07,40:4c:ca:5d:e6:e8,27.9,61.24,63,1
8317,2025-10-26 11:51:06,40:4c:ca:5d:ec:4c,23.72,61.68,59,2
8318,2025-10-26 11:53:06,40:4c:ca:5e:09:2c,21.44,86.1,56,1
8319,2025-10-26 11:53:07,40:4c:ca:5d:e6:e8,20.35,76.2,68,1
8320,2025-10-26 11:56:06,40:4c:ca:5d:ec:4c,24.8,69.23,54,2
8321,2025-10-26 11:58:06,40:4c:ca:5e:09:2c,29.62,82.84,66,1
8322,2025-10-26 11:58:07,40:4c:ca:5d:e6:e8,21.44,86.1,63,1
8323,2025-10-26 12:01:06,40:4c:ca:5d:ec:4c,24.49,65.92,68,2
8324,2025-10-26 12:03:06,40:4c:ca:5e:09:2c,23.63,78.01,59,1
8325,2025-10-26 12:03:07,40:4c:ca:5d:e6:e8,29.62,82.84,62,1
8326,2025-10-26 12:06:06,40:4c:ca:5d:ec:4c,18.64,63.69,71,3
8327,2025-10-26 12:08:06,40:4c:ca:5e:09:2c,30.1,64.36,26,1
8328,2025-10-26 12:08:07,40:4c:ca:5d:e6:e8,23.63,78.01,28,2
8329,2025-10-26 12:11:07,40:4c:ca:5d:ec:4c,24.51,60.27,63,3
8330,2025-10-26 12:13:06,40:4c:ca:5e:09:2c,24.76,76.31,56,1
8331,2025-10-26 12:13:07,40:4c:ca:5d:e6:e8,30.1,64.36,68,2
8332,2025-10-26 12:16:07,40:4c:ca:5d:ec:4c,27.9,61.24,73,3
8333,2025-10-26 12:18:06,40:4c:ca:5e:09:2c,27.29,89.97,69,1
8334,2025-10-26 12:18:07,40:4c:ca:5d:e6:e8,24.76,76.31,71,2
8335,2025-10-26 12:21:06,40:4c:ca:5d:ec:4c,20.35,76.2,69,3
8336,2025-10-26 12:23:06,40:4c:ca:5e:09:2c,29.75,72.91,57,1
8337,2025-10-26 12:23:07,40:4c:ca:5d:e6:e8,27.29,89.97,61,2
8338,2025-10-26 12:26:06,40:4c:ca:5d:ec:4c,21.44,86.1,57,2
8339,2025-10-26 12:28:06,40:4c:ca:5e:09:2c,27.9,88.44,55,1
8340,2025-10-26 12:28:07,40:4c:ca:5d:e6:e8,29.75,72.91,56,1
8341,2025-10-26 12:31:07,40:4c:ca:5d:ec:4c,29.62,82.84,54,2
8342,2025-10-26 12:33:06,40:4c:ca:5e:09:2c,29.34,87.25,52,1
8343,2025-10-26 12:33:07,40:4c:ca:5d:e6:e8,27.9,88.44,53,1
8344,2025-10-26 12:36:07,40:4c:ca:5d:ec:4c,23.63,78.01,58,2
8345,2025-10-26 12:38:06,40:4c:ca:5e:09:2c,24.29,71.3,54,1
8346,2025-10-26 12:38:07,40:4c:ca:5d:e6:e8,29.34,87.25,63,2
8347,2025-10-26 12:41:07,40:4c:ca:5d:ec:4c,30.1,64.36,63,3
8348,2025-10-26 12:43:06,40:4c:ca:5e:09:2c,19.27,88.26,57,1
8349,2025-10-26 12:43:07,40:4c:ca:5d:e6:e8,24.29,71.3,66,2
8350,2025-10-26 12:46:07,40:4c:ca:5d:ec:4c,24.76,76.31,65,3
8351,2025-10-26 12:48:06,40:4c:ca:5e:09:2c,29.43,69.34,57,1
8352,2025-10-26 12:48:07,40:4c:ca:5d:e6:e8,19.27,88.26,64,2
8353,2025-10-26 12:51:07,40:4c:ca:5d:ec:4c,27.29,89.97,63,3
8354,2025-10-26 12:53:06,40:4c:ca:5e:09:2c,18.04,62.6,54,1
8355,2025-10-26 12:53:07,40:4c:ca:5d:e6:e8,29.43,69.34,66,2
8356,2025-10-26 12:56:07,40:4c:ca:5d:ec:4c,29.75,72.91,66,3
8357,2025-10-26 12:58:06,40:4c:ca:5e:09:2c,18.49,62.2,48,1
8358,2025-10-26 12:58:07,40:4c:ca:5d:e6:e8,18.04,62.6,53,2
8359,2025-10-26 13:01:07,40:4c:ca:5d:ec:4c,27.9,88.44,65,3
8360,2025-10-26 13:03:06,40:4c:ca:5e:09:2c,20.56,75.32,56,1
8361,2025-10-26 13:03:07,40:4c:ca:5d:e6:e8,18.49,62.2,63,2
8362,2025-10-26 13:06:07,40:4c:ca:5d:ec:4c,29.34,87.25,72,3
8363,2025-10-26 13:08:06,40:4c:ca:5e:09:2c,28.72,87.13,32,1
8364,2025-10-26 13:08:07,40:4c:ca:5d:e6:e8,20.56,75.32,37,2
8365,2025-10-26 13:11:07,40:4c:ca:5d:ec:4c,24.29,71.3,68,3
8366,2025-10-26 13:13:06,40:4c:ca:5e:09:2c,25.9,70.09,62,1
8367,2025-10-26 13:13:07,40:4c:ca:5d:e6:e8,28.72,87.13,63,2
8368,2025-10-26 13:16:07,40:4c:ca:5d:ec:4c,19.27,88.26,68,3
8369,2025-10-26 13:18:06,40:4c:ca:5e:09:2c,24.19,73.05,57,1
8370,2025-10-26 13:18:07,40:4c:ca:5d:e6:e8,25.9,70.09,70,2
8371,2025-10-26 13:21:07,40:4c:ca:5d:ec:4c,29.43,69.34,64,3
8372,2025-10-26 13:23:06,40:4c:ca:5e:09:2c,24.95,63.49,53,1
8373,2025-10-26 13:23:07,40:4c:ca:5d:e6:e8,24.19,73.05,60,2
8374,2025-10-26 13:26:07,40:4c:ca:5d:ec:4c,18.04,62.6,60,3
8375,2025-10-26 13:28:06,40:4c:ca:5e:09:2c,23.27,61.19,55,1
8376,2025-10-26 13:28:07,40:4c:ca:5d:e6:e8,24.95,63.49,70,2
8377,2025-10-26 13:31:07,40:4c:ca:5d:ec:4c,18.49,62.2,70,3
8378,2025-10-26 13:33:06,40:4c:ca:5e:09:2c,23.97,89.24,54,1
8379,2025-10-26 13:33:07,40:4c:ca:5d:e6:e8,23.27,61.19,68,2
