id,timestamp,mac,rssi,mac_pai
13669,2025-10-26 00:02:45,40:4c:ca:5d:f3:b8,-56,null
13670,2025-10-26 00:07:45,40:4c:ca:5d:f3:b8,-56,null
13671,2025-10-26 00:12:45,40:4c:ca:5d:f3:b8,-57,null
13672,2025-10-26 00:17:45,40:4c:ca:5d:f3:b8,-50,null
13673,2025-10-26 00:22:46,40:4c:ca:5d:f3:b8,-50,null
13674,2025-10-26 00:27:46,40:4c:ca:5d:f3:b8,-50,null
13675,2025-10-26 00:32:46,40:4c:ca:5d:f3:b8,-50,null
13676,2025-10-26 00:37:46,40:4c:ca:5d:f3:b8,-49,null
13677,2025-10-26 00:42:46,40:4c:ca:5d:f3:b8,-50,null
13678,2025-10-26 00:47:46,40:4c:ca:5d:f3:b8,-50,null
13679,2025-10-26 00:52:46,40:4c:ca:5d:f3:b8,-50,null
13680,2025-10-26 00:57:46,40:4c:ca:5d:f3:b8,-50,null
13681,2025-10-26 01:02:46,40:4c:ca:5d:f3:b8,-50,null
13682,2025-10-26 01:07:46,40:4c:ca:5d:f3:b8,-50,null
13683,2025-10-26 01:12:46,40:4c:ca:5d:f3:b8,-49,null
13684,2025-10-26 01:17:46,40:4c:ca:5d:f3:b8,-50,null
13685,2025-10-26 01:22:46,40:4c:ca:5d:f3:b8,-50,null
13686,2025-10-26 01:27:46,40:4c:ca:5d:f3:b8,-50,null
13687,2025-10-26 01:32:46,40:4c:ca:5d:f3:b8,-50,null
13688,2025-10-26 01:37:46,40:4c:ca:5d:f3:b8,-49,null
13689,2025-10-26 01:42:46,40:4c:ca:5d:f3:b8,-50,null
13690,2025-10-26 01:47:46,40:4c:ca:5d:f3:b8,-49,null
13691,2025-10-26 01:52:46,40:4c:ca:5d:f3:b8,-50,null
13692,2025-10-26 01:57:46,40:4c:ca:5d:f3:b8,-50,null
13693,2025-10-26 02:02:46,40:4c:ca:5d:f3:b8,-50,null
13694,2025-10-26 02:07:46,40:4c:ca:5d:f3:b8,-50,null
13695,2025-10-26 02:09:02,null,,null
13696,2025-10-26 02:12:46,40:4c:ca:5d:f3:b8,-50,null
13697,2025-10-26 02:17:46,40:4c:ca:5d:f3:b8,-49,null
13698,2025-10-26 02:22:46,40:4c:ca:5d:f3:b8,-51,null
13699,2025-10-26 02:27:46,40:4c:ca:5d:f3:b8,-50,null
13700,2025-10-26 02:32:46,40:4c:ca:5d:f3:b8,-50,null
13701,2025-10-26 02:37:46,40:4c:ca:5d:f3:b8,-50,null
13702,2025-10-26 02:42:46,40:4c:ca:5d:f3:b8,-50,null
13703,2025-10-26 02:47:46,40:4c:ca:5d:f3:b8,-50,null
13704,2025-10-26 02:52:46,40:4c:ca:5d:f3:b8,-50,null
13705,2025-10-26 02:57:46,40:4c:ca:5d:f3:b8,-50,null
13706,2025-10-26 03:02:46,40:4c:ca:5d:f3:b8,-49,null
13707,2025-10-26 03:07:46,40:4c:ca:5d:f3:b8,-50,null
13708,2025-10-26 03:12:46,40:4c:ca:5d:f3:b8,-50,null
13709,2025-10-26 03:17:46,40:4c:ca:5d:f3:b8,-50,null
13710,2025-10-26 03:22:46,40:4c:ca:5d:f3:b8,-50,null
13711,2025-10-26 03:27:46,40:4c:ca:5d:f3:b8,-50,null
13712,2025-10-26 03:32:46,40:4c:ca:5d:f3:b8,-49,null
13713,2025-10-26 03:37:46,40:4c:ca:5d:f3:b8,-49,null
13714,2025-10-26 03:42:46,40:4c:ca:5d:f3:b8,-50,null
13715,2025-10-26 03:47:46,40:4c:ca:5d:f3:b8,-50,null
13716,2025-10-26 03:52:46,40:4c:ca:5d:f3:b8,-49,null
13717,2025-10-26 03:57:46,40:4c:ca:5d:f3:b8,-50,null
13718,2025-10-26 04:02:46,40:4c:ca:5d:f3:b8,-50,null
13719,2025-10-26 04:07:46,40:4c:ca:5d:f3:b8,-50,null
